video_id,title,description,body_part,video_url,bodyweight,cable,barbell,dumbbell,band,side_video
22,Over Head Press,This is a barbell workout targeted to shoulders.,Shoulders,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\barbells\m-gym-shoulders-barbell-overhead-press.mp4,f,f,t,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\barbells\m-gym-shoulders-barbell-overhead-press-side.mp4
23,Upright Row,This is a barbell workout targeted to shoulders.,Shoulders,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\barbells\m-gym-shoulders-barbell-upright-row-front.mp4,f,f,t,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\barbells\m-gym-shoulders-barbell-upright-row-front-side.mp4
24,Skullcrusher,This is a barbell workout targeted to triceps.,Triceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\barbells\m-gym-triceps-barbell-skullcrusher.mp4,f,f,t,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\barbells\m-gym-triceps-barbell-skullcrusher-side.mp4
25,Calf Raise,This is a body-weight workout targeted to calves.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\female-bodyweight-calve-raise-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\female-bodyweight-calve-raise-side.mp4
26,Chin-up,"This is a body-weight workout targeted to chest, biceps and lats.",Biceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\female-bodyweight-chinup-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\female-bodyweight-chinup-side.mp4
27,Dips,This is a body-weight workout targeted to triceps.,Triceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\female-bodyweight-dips-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\female-bodyweight-dips-side.mp4
28,Hollow Hold,This is a body-weight workout targeted to core.,Abdominals,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\female-bodyweight-hollow-hold-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\female-bodyweight-hollow-hold-side.mp4
29,Lateral Lunge,This is a body-weight workout targeted to quads.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\female-bodyweight-lateral-lunge-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\female-bodyweight-lateral-lunge-side.mp4
30,Pike Pushup,This is a body-weight workout targeted to triceps.,Triceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\female-bodyweight-pike-pushup-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\female-bodyweight-pike-pushup-side.mp4
31,Side Plank Reach,This is a body-weight workout targeted to core.,Abdominals,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\female-bodyweight-side-plank-reach-through-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\female-bodyweight-side-plank-reach-through-side.mp4
32,Russian Twist,This is a body-weight workout targeted to core.,Abdominals,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\m-home-abdominals-bodyweight-russian-twist-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\m-home-abdominals-bodyweight-russian-twist-side.mp4
33,Forearm Plank,This is a body-weight workout targeted to core.,Abdominals,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\m-home-abdominals-forearm plank.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\m-home-abdominals-forearm plank-side.mp4
34,Decline Pushup,This is a body-weight workout targeted to triceps.,Triceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\m-home-chest-decline-pushup-front.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\m-home-decline-push-ups-side.mp4
35,Bodyweight Glute Bridge,This is a body-weight workout targeted to glutes.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\m-home-glutes-glute-bridge.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\m-home-glute-bridge-side.mp4
36,Bodyweight Reverse Lunge,This is a body-weight workout targeted to quads and hamstrings.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\m-home-legs-Bodyweight Reverse Lunge.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\m-home-legs-Bodyweight Reverse Lunge-side.mp4
37,Supermans,This is a body-weight workout targeted to lower back.,Back,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\body-weight\m-home-lowerback-supermans.mp4,t,f,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\body-weight\m-home-lowerback-supermans-side.mp4
38,Chest Press,This is a cable workout targeted to chest.,Chest,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\female-cable-chestpress-front.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\female-cable-chestpress-side.mp4
39,Glute Kickback,This is a cable workout targeted to glutes.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\female-Cables-cable-glute-kickback-front.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\female-Cables-cable-glute-kickback-side.mp4
40,Pullover,This is a cable workout targeted to lats.,Back,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\female-Cables-cable-pullover-front.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\female-Cables-cable-pullover-side.mp4
41,Cable Romanian Deadlift,This is a cable workout targeted to quads and glutes.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\female-Cables-cable-romanian-deadlift-front.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\female-Cables-cable-romanian-deadlift-side.mp4
42,Hamstring Curl,This is a cable workout targeted to hamstrings.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\male-cable-hamstring-curl--front.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\male-cable-hamstring-curl-side.mp4
43,Pec Fly,This is a cable workout targeted to chest.,Chest,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\male-cable-pec-fly.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\male-cable-pec-fly-side.mp4
44,30 Degree Shrug,This is a cable workout targeted to shoulders.,Shoulders,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\male-Cables-cable-30-degree-shrug-front.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\male-Cables-cable-30-degree-shrug-side.mp4
45,Goblet Squat,This is a cable workout targeted to Quads.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\m-gym-legs-cable-goblet-squat.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\m-gym-legs-cable-goblet-squat-side.mp4
46,Dumbbell Chest Fly,This is a dumbbell workout targeted to chest.,Chest,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\male-dumbbell-chest-fly-front.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\male-dumbbell-chest-fly-side.mp4
47,Neutral Overhead Press,This is a dumbbell workout targeted to shoulders.,Shoulders,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\male-dumbbell-neutral-overhead-press-front.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\male-dumbbell-neutral-overhead-press-side.mp4
48,Dumbbell Reverse Lunge,This is a dumbbell workout targeted to quads.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\male-dumbbell-reverse-lunge-front.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\male-dumbbell-reverse-lunge-side.mp4
49,Wood Chopper,This is a dumbbell workout targeted to obliques.,Abdominals,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-abdominals-dumbbell-wood-chopper.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-abdominals-dumbbell-wood-chopper-side.mp4
50,Dumbbell Single Arm Row,This is a dumbbell workout targeted to back.,Back,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-backs-dumbbell-single-arm-row.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-backs-dumbbell-single-arm-row-side.mp4
51,Twisting Curl,This is a dumbbell workout targeted to biceps.,Biceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-biceps-dumbbell-twisting-curl.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-biceps-dumbbell-twisting-curl-side.mp4
52,Dumbbell Bench Press,This is a dumbbell workout targeted to chest.,Chest,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-chest-dumbbell-bench-press.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-chest-dumbbell-bench-press-side.mp4
53,Bulgarian Split Squat,This is a dumbbell workout targeted to glutes.,Glutes,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-glutes-dumbbell-bulgarian-split-squat.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-glutes-dumbbell-bulgarian-split-squat-side.mp4
54,Dumbbell Romanian Deadlift,This is a dumbbell workout targeted to hamstrings and quads.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-glutes-dumbbell-romanian-deadlift.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-glutes-dumbbell-romanian-deadlift-side.mp4
55,Dumbbell Calf Raise,This is a dumbbell workout targeted to calves.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-legs-dumbbell-calf-raise.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-legs-dumbbell-calf-raise-side.mp4
56,Dumbbell Goblet Squat,This is a dumbbell workout targeted to quads.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-legs-dumbbell-heels-up-goblet-squat.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-legs-dumbbell-heels-up-goblet-squat-side.mp4
57,Dumbbell Lateral Raise,This is a dumbbell workout targeted to shoulders.,Shoulders,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-shoulders-dumbbell-lateral-raise.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-shoulders-dumbbell-lateral-raise-side.mp4
58,Laying Reverse Fly,This is a dumbbell workout targeted to shoulders.,Shoulders,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-shoulders-dumbbell-laying-reverse-fly.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-shoulders-dumbbell-laying-reverse-fly-side.mp4
59,Dumbbell Skullcrusher,This is a dumbbell workout targeted to triceps.,Triceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\dumbells\m-gym-triceps-dumbbell-skullcrusher.mp4,f,f,f,t,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\dumbells\m-gym-triceps-dumbbell-skullcrusher-side.mp4
60,Band Calve Raises,This is a band assisted workout targeted to calves.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\m-home-legs-band-calve-raise.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\m-home-legs-band-calve-raise-side.mp4
61,Cable Pullover,This is a cable workout targeted to Lats.,Back,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\m-gym-back-cable-pullover.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\m-gym-back-cable-pullover-side.mp4
62,Cable Chest Press,This is a cable workout targeted to Pecs.,Chest,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\cables\m-gym-chest-cable-chestpress.mp4,f,t,f,f,f,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\cables\m-gym-chest-cable-chestpress-side.mp4
